school,major,risk_level,source_present,official_source_type,required_recommended_mixed,numeric_score_suspect,gpa_suspect,credit_suspect,same_requirements_as_other_majors,needs_official_check,notes
New York University,"Mathematics, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Mathematics & Physics, B.S.",verified,true,official_site,false,false,false,false,false,false,None
New York University,"Mechanical Engineering, B.S.",verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Computer Science,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Data Science,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Information Technology,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Business Administration,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Finance,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Accounting,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Marketing,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Management,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Economics,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Psychology,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Political Science,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Sociology,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,History,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,English,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Communications,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Biology,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Chemistry,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Physics,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Mathematics,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Statistics,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Public Health,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Nursing,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,International Relations,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Philosophy,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Architectural Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Computer Science (BS),verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Computer Science (BA),verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Environmental Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Interdisciplinary Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Manufacturing & Mechanical Engineering Technology (MMET),verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Materials Science & Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Nuclear Engineering,verified,true,official_site,false,false,false,false,false,false,None
Texas A&M University,Petroleum Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Information Technology,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Finance,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Accounting,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Marketing,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Management,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Political Science,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Sociology,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,History,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,English,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Communications,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Chemistry,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Physics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Mathematics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Statistics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Public Health,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Nursing,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,International Relations,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Philosophy,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Bioengineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Bioengineering — Bioinformatics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Bioengineering — BioSystems,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Bioengineering — Biotechnology,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Chemical & NanoEngineering — Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Chemical & NanoEngineering — NanoEngineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Computer Science & Engineering — Computer Engineering (CSE dept),verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Computer Science & Engineering — Computer Science,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Computer Science & Engineering — CS Bioinformatics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Computer Science & Engineering — Artificial Intelligence,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Electrical & Computer Engineering — Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Electrical & Computer Engineering — EE & Society,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Electrical & Computer Engineering — Engineering Physics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Structural Engineering — Structural Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Physics (Jacobs School) — Physics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Computer Science,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Data Science,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Business Administration,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Economics,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Psychology,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Cognitive Science,verified,true,official_site,false,false,false,false,false,false,None
UC San Diego,Biology,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Information Technology,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Computer Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Electrical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Mechanical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Civil Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Chemical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Biomedical Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Industrial Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Aerospace Engineering,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Finance,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Accounting,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Marketing,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Management,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Political Science,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Sociology,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,History,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,English,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Communications,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Biology,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Biochemistry,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Chemistry,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Physics,verified,true,official_site,false,false,false,false,false,false,None
UC Irvine,Mathematics,verified,true,official_site,false,false,false,false,false,false,None
